"Location","Elevation (m)","Ascent (m)","Descent (m)","Distance (km)","Total Distance (km)","Total Ascent (m)","Total Descent (m)","Notes"
"Start: Te Araroa (NOBO)","8","0","0","0","0","0","0",""
"3070 km","141","268","135","3.2","3.2","268","135","Invercargill to Bluff | 3.2 km northbound"
"3050 km","6","185","320","20.1","23.2","452","454","Invercargill to Bluff | 23.2 km northbound"
"3040 km","3","14","17","9.8","33.1","466","471","Invercargill to Bluff | 33.2 km northbound"
"3030 km","2","9","10","9.9","42.9","475","481","Oreti Beach Track | 43.2 km northbound"
"3020 km","3","11","10","9.7","52.7","486","491","Oreti Beach Track | 53.2 km northbound"
"3010 km","2","5","6","10.5","63.2","490","496","Oreti Beach Track | 63.2 km northbound"
"Riverton","13","11","0","2.4","65.5","501","496","km 65.6 (TA 3007.6) | FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park."
"3000 km","16","221","218","7.3","72.9","722","714","Tīhaka Beach Track | 73.2 km northbound"
"Turnbull's (Big Dam) Hut","306","474","184","18.3","91.2","1196","898","km 91.6 (TA 2981.6) | Category: Basic/bivvies | Facilities: Heating | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Longwood Forest Conservation Area | Region: Southland"
"2980 km","404","101","2","1.6","92.8","1297","901","Longwood Forest Track | 93.2 km northbound"
"Martin's Hut","417","80","67","3.1","95.9","1377","968","km 96.3 (TA 2976.9) | Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Longwood Forest Conservation Area | Region: Southland"
"2970 km","36","2","383","6.8","102.7","1379","1351","Longwood Forest Track | 103.2 km northbound"
"2960 km","78","75","33","10","112.8","1454","1384","Longwood Forest Track | 113.2 km northbound"
"2950 km","431","470","118","10.1","122.8","1925","1502","Longwood Forest Track | 123.2 km northbound"
"2940 km","342","437","526","9.9","132.7","2362","2028","Longwood Forest Track | 133.2 km northbound"
"2930 km","117","71","297","10","142.7","2433","2325","Birchwood to Merrivale | 143.2 km northbound"
"2920 km","266","331","182","10","152.6","2764","2506","Birchwood to Merrivale | 153.2 km northbound"
"2910 km","140","370","495","10","162.6","3134","3002","Birchwood to Merrivale | 163.2 km northbound"
"2900 km","145","83","78","10","172.6","3216","3080","Tākitimu Track | 173.2 km northbound"
"2890 km","247","185","82","10","182.6","3401","3162","Tākitimu Track | 183.2 km northbound"
"2880 km","302","258","204","10","192.5","3659","3365","Tākitimu Track | 193.2 km northbound"
